"","graph.type","degree","p","power","mu","fw","bw","size","graph.no","lambda_0","lambda_1","lambda_2"
"282","barabasi-albert",NA,NA,0.5,NA,NA,NA,500,12,-1.5,0.5,0.5
"283","barabasi-albert",NA,NA,0.1,NA,NA,NA,1000,13,-1.5,0.5,0.5
"284","barabasi-albert",NA,NA,0.3,NA,NA,NA,1000,14,-1.5,0.5,0.5
"285","barabasi-albert",NA,NA,0.5,NA,NA,NA,1000,15,-1.5,0.5,0.5
"286","barabasi-albert",NA,NA,0.1,NA,NA,NA,5000,16,-1.5,0.5,0.5
"287","barabasi-albert",NA,NA,0.3,NA,NA,NA,5000,17,-1.5,0.5,0.5
"288","barabasi-albert",NA,NA,0.5,NA,NA,NA,5000,18,-1.5,0.5,0.5
"289","sbm",NA,NA,NA,0.1,NA,NA,500,19,-1.5,0.5,0.5
"290","sbm",NA,NA,NA,0.2,NA,NA,500,20,-1.5,0.5,0.5
"291","sbm",NA,NA,NA,0.3,NA,NA,500,21,-1.5,0.5,0.5
"292","sbm",NA,NA,NA,0.1,NA,NA,1000,22,-1.5,0.5,0.5
"293","sbm",NA,NA,NA,0.2,NA,NA,1000,23,-1.5,0.5,0.5
"294","sbm",NA,NA,NA,0.3,NA,NA,1000,24,-1.5,0.5,0.5
"295","sbm",NA,NA,NA,0.1,NA,NA,5000,25,-1.5,0.5,0.5
"296","sbm",NA,NA,NA,0.2,NA,NA,5000,26,-1.5,0.5,0.5
"297","sbm",NA,NA,NA,0.3,NA,NA,5000,27,-1.5,0.5,0.5
"298","forest-fire",NA,NA,NA,NA,0.32,0.33,500,28,-1.5,0.5,0.5
"299","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,29,-1.5,0.5,0.5
"300","forest-fire",NA,NA,NA,NA,0.37,0.35,5000,30,-1.5,0.5,0.5
"301","small-world",5,0.03,NA,NA,NA,NA,500,1,-1.5,0.75,0.5
"302","small-world",5,0.05,NA,NA,NA,NA,500,2,-1.5,0.75,0.5
"303","small-world",5,0.1,NA,NA,NA,NA,500,3,-1.5,0.75,0.5
"304","small-world",5,0.03,NA,NA,NA,NA,1000,4,-1.5,0.75,0.5
"305","small-world",5,0.05,NA,NA,NA,NA,1000,5,-1.5,0.75,0.5
"306","small-world",5,0.1,NA,NA,NA,NA,1000,6,-1.5,0.75,0.5
"307","small-world",5,0.03,NA,NA,NA,NA,5000,7,-1.5,0.75,0.5
"308","small-world",5,0.05,NA,NA,NA,NA,5000,8,-1.5,0.75,0.5
"309","small-world",5,0.1,NA,NA,NA,NA,5000,9,-1.5,0.75,0.5
"310","barabasi-albert",NA,NA,0.1,NA,NA,NA,500,10,-1.5,0.75,0.5
"311","barabasi-albert",NA,NA,0.3,NA,NA,NA,500,11,-1.5,0.75,0.5
"312","barabasi-albert",NA,NA,0.5,NA,NA,NA,500,12,-1.5,0.75,0.5
"313","barabasi-albert",NA,NA,0.1,NA,NA,NA,1000,13,-1.5,0.75,0.5
"314","barabasi-albert",NA,NA,0.3,NA,NA,NA,1000,14,-1.5,0.75,0.5
